Product Name,Price (Rp),Validity Duration (Day),Limited Main Quota (GB),Unlimited Main Quota (GB),Limited Application Quota (GB),Operator,Others,Limited Main Quota Duration (Hari),Limited Application Quota Duration (Hari),Unlimited Application Quota (GB),Unlimited Application Quota Duration (Hari),Total Anggota,ProductName
30GB 30 Hari,70.0,30.0,30.0,,,Tri,,30.0,,5.0,5.0,,
13GB 30 Hari,50.0,30.0,13.0,,,Tri,,30.0,,5.0,5.0,,
5GB 7 Hari,20.0,7.0,5.0,,,Tri,,7.0,,,,,
50GB 7 Hari.,15.0,7.0,50.0,,,Tri,,7.0,,,,,
3GB 2 Hari,10.0,2.0,3.0,,,Tri,,2.0,,,,,
6GB 3 Hari,10.0,30.0,6.0,,,Tri,,30.0,,,,,
5GB 1 Hari,5.0,,,,,Tri,,,,,,,
38GB+30Menit 30 Hari.,90.0,30.0,16.0,,,Tri,,30.0,,,,,
32GB+30Menit 30 Hari.,85.0,30.0,38.0,,,Tri,,30.0,,,,,
3GB + Voice.,40.0,30.0,30.0,,,Tri,,30.0,,,,,
2GB + Voice.,35.0,30.0,30.0,,,Tri,,30.0,,,,,
6GB + Voice.,15.0,30.0,6.0,,,Tri,,30.0,,,,,
5GB + Voice.,10.0,30.0,5.0,,,Tri,,30.0,,,,,
Xtra Combo Flex S+,31.0,30.0,10.0,,,XL,,,,,,,
Xtra Combo Flex M,41.0,30.0,15.0,,,XL,,,,,,,
Xtra Combo Flex L,60.0,30.0,27.0,,,XL,,,,,,,
Xtra Combo Flex XL,85.0,30.0,45.0,,,XL,,,,,,,
Xtra Combo Flex XXL,115.0,30.0,90.0,,,XL,,,,,,,
Xtra Combo Flex XXXL,140.0,30.0,180.0,,,XL,,,,,,,
30 GB,62.0,30.0,30.0,,,XL,,,,1.0,,2 orang,
42 GB,85.0,30.0,42.0,,,XL,,,,1.0,,2 orang,
65 GB,125.0,30.0,65.0,,,XL,,,,1.0,,2 orang,
147 GB,205.0,30.0,147.0,,,XL,,,,1.0,,3 orang,
260 GB,320.0,30.0,260.0,,,XL,,,,1.0,,4 orang,
460 GB,515.0,30.0,460.0,,,XL,,,,1.0,,4 orang,
Xtra Combo VIP Plus 10 GB,71.5,30.0,20.0,,3.0,XL,,,,1.0,,,
